"","Title","ReleaseDate","Popularity","Budget","Revenue","Genre","IMDBRating","IMDBVotes","Director","RottenTomatoesRating"
"49","Fearmakers","19 Jan 2008",0.007228,0,0,"Horror","2.3/10","165","Timo Rose",NA
"50","Fighting Mustang","20 Feb 1948",0.002353,0,0,"Western","7.7/10","46","Oliver Drake",NA
"51","Watchers II","16 Aug 1990",0.001925,0,0,"Horror, Sci-Fi","3.7/10","784","Thierry Notz",NA
"52","Pneumenon","'14/04/2003'",0.00375,0,0,"Short",NA,"N/A","Peter Rose",NA
"53","Nagai Go no Kowai Zone: Kaiki","'24/08/1989'",2.9e-05,0,0,NA,NA,NA,NA,NA
"54","The Wind is Watching","22 Aug 2014",3e-06,0,0,"Sci-Fi","6.2/10","17","Conrad Faraj",NA
"55","Sugar Coated","01 May 2016",0.228153,0,0,"Documentary","7.5/10","577","MichËle Hozer",NA
"56","The 13th Sign","01 Aug 2000",0.001913,0,0,"Horror","3.2/10","157","Jonty Acton, Adam Mason",NA
"57","Bud Abbott and Lou Costello in Hollywood","05 Oct 1945",0.01566,0,0,"Comedy","7.0/10","1,873","S. Sylvan Simon",NA
"58","The Road Uphill","23 Dec 2011",0.066468,0,0,"Documentary","8.1/10","68","Jean-Louis Schuller",NA
"59","ãÅ†ãÅ?ãÅ£ãÅ?!! OVA","'13/10/2012'",0.015301,0,0,NA,NA,NA,NA,NA
"60","When Hari Got Married","16 Mar 2013",0.021241,0,0,"Documentary, Family","7.5/10","82","Ritu Sarin, Tenzing Sonam",NA
"61","Cesta","02 Jun 2004",0.045165,0,0,"Documentary","6.0/10","7","Jasmina Bralic",NA
"62","The Bedroom Window","16 Jan 1987",2.565222,0,0,"Crime, Mystery, Thriller","6.4/10","3,567","Curtis Hanson","86%"
"63","Four Corners","28 Mar 2014",0.171083,0,0,"Crime, Thriller","6.6/10","317","Ian Gabriel","100%"
"64","Honey I Blew Up the Kid","17 Jul 1992",3.693572,40000000,58662452,"Adventure, Comedy, Family","4.7/10","34,167","Randal Kleiser","41%"
"65","An Acquired Taste","20 Sep 1981",1e-06,0,0,"Short","7.4/10","10","Ralph Arlyck",NA
"66","Afghan Stories","19 May 2003",0.008288,0,0,"Documentary","7.3/10","34","Taran Davies","100%"
"67","Richelie","'11/03/2014'",NA,0,0,NA,NA,NA,NA,NA
"68","Blow-Up","24 Feb 1967",0.001971,0,0,"Drama, Mystery, Thriller","7.7/10","44,975","Michelangelo Antonioni","86%"
"69","Ratko: The Dictator's Son","01 Jun 2009",0.130217,0,0,"Comedy, Thriller","3.8/10","393","Savage Steve Holland, Kevin Speckmaier",NA
"70","From a Whisper","09 Oct 2010",0.009698,0,0,"Drama","5.6/10","18","Wanuri Kahiu",NA
"71","The Dark Angel: Psycho Kickboxer","'28/06/1998'",0.008172,10000,0,"Action, Horror","5.0/10","44","David Haycox, Mardy South",NA
"72","Bears","18 Apr 2014",1.183014,0,0,"Documentary","7.4/10","5,513","Alastair Fothergill, Keith Scholey, Adam Chapman(co-director)","89%"
"73","Prelude to Eden","'01/01/1995'",0.026553,0,0,"Animation, Short","6.4/10","36","Michel GagnÈ",NA
"74","Diamant 13","'21/06/2009'",0.640307,6850000,0,NA,NA,NA,NA,NA
